,Cenefas,Enlaces,id,Nombre,Other
132,121A07 - Br. Estación Central,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=137,121A07,Br. Estación Central,
133,121B07 - Br. Estación Central,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=138,121B07,Br. Estación Central,
134,131A07 - Br. Estación Central,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=139,131A07,Br. Estación Central,
135,131B07 - Br. Estación Central,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=140,131B07,Br. Estación Central,
136,254A00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=121,254A00,Br. La Favorita,
137,254B00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=122,254B00,Br. La Favorita,
138,256A00 - Pl. Paloquemao,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=125,256A00,Pl. Paloquemao,
139,256B00 - Pl. Paloquemao,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=126,256B00,Pl. Paloquemao,
140,241A00 - Br. La Capuchina,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=152,241A00,Br. La Capuchina,
141,241B00 - Br. La Capuchina,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=151,241B00,Br. La Capuchina,
142,243A00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=153,243A00,Br. Veracruz,
143,243B00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=154,243B00,Br. Veracruz,
144,246A00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=156,246A00,Br. Veracruz,
145,246B00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=155,246B00,Br. Veracruz,
146,247A00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=158,247A00,Br. Veracruz,
147,247B00 - Br. Veracruz,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=157,247B00,Br. Veracruz,
148,250A00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=149,250A00,Br. La Favorita,
149,250B00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=150,250B00,Br. La Favorita,
150,253A00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=147,253A00,Br. La Favorita,
151,253B00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=148,253B00,Br. La Favorita,
152,255A00 - Br. El Listón,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=145,255A00,Br. El Listón,
153,257A00 - Pl. Paloquemao,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=144,257A00,Pl. Paloquemao,
154,257B00 - Pl. Paloquemao,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=143,257B00,Pl. Paloquemao,
